activation_name,activation_key,val_acc_mean,val_acc_std,final_train_loss_mean,final_train_loss_std,final_val_loss_mean,final_val_loss_std,epochs,learning_rate,seeds
ReLU,relu,0.98,0.004082482904638634,0.082387144020502,0.02107295010436192,0.07825968405324148,0.042573636076557925,200,0.01,"42,43,44"
Sigmoid,logistic,0.875,0.021213203435596444,0.2942817342539499,0.010153828064272192,0.2694387153895356,0.035498804651207,200,0.01,"42,43,44"
Tanh,tanh,0.98,0.007071067811865481,0.07473002989205936,0.010035456905608336,0.06613371975915809,0.021304661838484368,200,0.01,"42,43,44"
Identity,identity,0.8850000000000001,0.025495097567963948,0.29604031896574384,0.008796128828889822,0.2641869147572425,0.04003835909234726,200,0.01,"42,43,44"
